"","medal","beer_name","brewery","city","state","category","year"
"166","Gold","Augenblick Light Lager","Masthead Brewing Co.","Cleveland","OH","Munich-Style Helles",2020
"167","Gold","Settlers' Oatmeal Stout","Vallensons' Brewing Co.","Pearland","TX","Oatmeal Stout",2020
"168","Silver","North Tower Stout","Earth Rider Brewery","Superior","WI","Oatmeal Stout",2020
"169","Bronze","Stagecoach Stout","Figueroa Mountain Brewing Co.","Buellton","CA","Oatmeal Stout",2020
"170","Gold","Miss Cleo's Barkleywine","Sanford Brewing Co.","Sanford","FL","Old Ale or Strong Ale or Barley Wine-Style Ale",2020
"171","Silver","Baby Maker","Triple C Brewing Co.","Charlotte","NC","Old Ale or Strong Ale or Barley Wine-Style Ale",2020
"172","Gold","Rico","Chihuahua Cerveza","Costa Mesa","CA","Other Strong Beer",2020
"173","Silver","Krimson King","Accomplice Beer Co.","Cheyenne","WY","Other Strong Beer",2020
"174","Bronze","Hello, Sabro!","Danville Brewing Co.","Danville","CA","Other Strong Beer",2020
"175","Gold","Gordgeous","NoDa Brewing Co. - NE","Charlotte","NC","Pumpkin Beer",2020
"176","Silver","5 Phantoms 2018","Philipsburg Brewing Co.","Philipsburg","MT","Pumpkin Beer",2020
"177","Gold","Tabula Rasa","Second Chance Beer Co.","San Diego","CA","Robust Porter",2020
"178","Silver","Porter","Founders Brewing Co.","Grand Rapids","MI","Robust Porter",2020
"179","Bronze","Thriller Pillar Porter","Bron Yr Aur Brewing Co.","Naches","WA","Robust Porter",2020
"180","Silver","Hugzilla","Gezellig Brewing Co.","Newton","IA","Rye Beer",2020
"181","Bronze","Chuckanut Rye","Chuckanut Brewery - North Nut","Bellingham","WA","Rye Beer",2020
"182","Gold","No. 17 Scotch Ale","The Freehouse","Minneapolis","MN","Scotch Ale",2020
"183","Bronze","Wee Heavy HINDER","H.H. Hinder Brewing Co.","Waupaca","WI","Scotch Ale",2020
"184","Gold","Back Country","Lewis & Clark Brewing Co.","Helena","MT","Scottish-Style Ale",2020
"185","Silver","It Takes a Tribe Red Ale","Goat Patch Brewing Co.","Colorado Springs","CO","Scottish-Style Ale",2020
"186","Bronze","Taildragger Clan-Destine","Saddle Mountain Brewing Co.","Goodyear","AZ","Scottish-Style Ale",2020
"187","Gold","Tip the Calf","SingleSpeed Brewing","Waterloo","IA","Session Beer or Non-Alcohol Beer",2020
"188","Silver","Guillaume","Pizza Port Ocean Beach","San Diego","CA","Session Beer or Non-Alcohol Beer",2020
"189","Gold","Hefty Fee","Docent Brewing","San Juan Capistrano","CA","Session India Pale Ale",2020
"190","Silver","Pedal Pounder","LazyG Brewhouse","Prescott","AZ","Session India Pale Ale",2020
"191","Silver","Holy Smokes!","Santa Maria Brewing Co.","Atascadero","CA","Smoke Beer",2020
"192","Gold","Coco Burrito Porter","Shoe Tree Brewing Co.","Carson City","NV","Specialty Beer",2020
"193","Silver","Cookies &amp; Cream Milk Stout","Waconia Brewing Co.","Waconia","MN","Specialty Beer",2020
"194","Bronze","Cactus Warrior","Toltec Brewing Co.","Albuquerque","NM","Specialty Beer",2020
"195","Gold","Razzle Fo Shazzle","Great Basin Brewing Co. - Reno","Reno","NV","Specialty Berliner-Style Weisse",2020
"196","Silver","Glitz & Glam","Eppig Brewing","Vista","CA","Specialty Berliner-Style Weisse",2020
"197","Bronze","Plumpricot","Beale's","Bedford","VA","Specialty Berliner-Style Weisse",2020
"198","Gold","Farmhouse CuvC3==A9e","Alesong Brewing & Tasting Room","Eugene","OR","Specialty Saison",2020
"199","Silver","Seeds of Infinity","Coldfire Brewing","Eugene","OR","Specialty Saison",2020
"200","Gold","ODIS","O'Connor Brewing Co.","Norfolk","VA","Stout",2020
"201","Silver","Void of Light","Gun Hill Brewing Co.","Bronx","NY","Stout",2020
"202","Bronze","Dry Stout","The Post Brewing Co.","Lafayette","CO","Stout",2020
"203","Gold","Happy Days","Claremont Craft Ales","Claremont","CA","Strong Red Ale",2020
"204","Silver","Side Hike","Kern River Brewing Co.","Kernville","CA","Strong Red Ale",2020
"205","Gold","Moozie Milk Stout","Brink Brewing Co.","Cincinnati","OH","Sweet Stout or Cream Stout",2020
"206","Bronze","Irish Prenup","Barley Naked Brewing Co.","Stafford","VA","Sweet Stout or Cream Stout",2020
"207","Gold","RhinO'fest","Lost Rhino Brewing Co.","Ashburn","VA","Vienna-Style Lager",2020
"208","Silver","Vienna Lager","East Rock Brewing Co.","New Haven","CT","Vienna-Style Lager",2020
"209","Gold","Afternoon Delight","Sun King Brewery - Indianapolis","Indianapolis","IN","Wood- and Barrel-Aged Beer",2020
"210","Silver","Amburana Graham Cracker Porter","Denver Beer Co.","Denver","CO","Wood- and Barrel-Aged Beer",2020
"211","Gold","Cuvee De Funk","Lone Pine Brewing Co.","Portland","ME","Wood- and Barrel-Aged Sour Beer",2020
"212","Silver","Triad Blanc","IMBIB Custom Brews","Reno","NV","Wood- and Barrel-Aged Sour Beer",2020
"213","Bronze","Freedom 7","True Anomaly Brewing Co.","Houston","TX","Wood- and Barrel-Aged Sour Beer",2020
"214","Gold","Amburana Dream","Denver Beer Co. - Olde Town Arvada","Arvada","CO","Wood- and Barrel-Aged Strong Beer",2020
"215","Silver","Bourbon B.A. Big Game","Bravery Brewing","Lancaster","CA","Wood- and Barrel-Aged Strong Beer",2020
"216","Gold","A Night to End All Dawns","Kane Brewing Co.","Ocean","NJ","Wood- and Barrel-Aged Strong Stout",2020
"217","Silver","Ruckus","Melvin Brewing - Thai Me Up","Jackson","WY","Wood- and Barrel-Aged Strong Stout",2020
"218","Bronze","Grasp of Oak","Moksa Brewing Co.","Rocklin","CA","Wood- and Barrel-Aged Strong Stout",2020
"219","Bronze","Mob Barley","Meadowlark Brewing","Sidney","MT","Aged Beer",2019
"220","Silver","Tank 7 Farmhouse Ale","Boulevard Brewing Co.","Kansas City","MO","American-Belgo-Style Ale",2019
"221","Bronze","White Rainbow","Red Rock Brewery - Production","Salt Lake City","UT","American-Belgo-Style Ale",2019
"222","Gold","MC3=A4rzen","Sudwerk Brewing Co.","Davis","CA","American-Style Amber Lager",2019
"223","Silver","Oktoberfest","Huss Brewing Co.","Tempe","AZ","American-Style Amber Lager",2019
"224","Bronze","Grist Maerzen","Grist Brewing Co.","Highlands Ranch","CO","American-Style Amber Lager",2019
"225","Bronze","Red Alert","Aftershock Brewing Co.","Temecula","CA","American-Style Amber/Red Ale",2019
"226","Gold","Alpha Force Double Tap","C3=9Cberbrew","Billings","MT","American-Style Black Ale",2019
"227","Silver","Bowie Knife","Thunderhawk Alements","San Diego","CA","American-Style Black Ale",2019
"228","Bronze","Turmoil","Barley Brown's Beer","Baker City","OR","American-Style Black Ale",2019
"229","Silver","Bull Creek Brown Ale","Springfield Brewing Co.","Springfield","MO","American-Style Brown Ale",2019
"230","Bronze","Browner Than Ivan","Chula Vista Brewery","Chula Vista","CA","American-Style Brown Ale",2019
"231","Gold","Sea SeC3=B1or! Mex Lager","SouthNorte Beer Co.","San Diego","CA","American-Style Cream Ale",2019
"232","Silver","Los DudesE2=80=99 Cerveza Lager Mexic=ana","The Dudes' Brewing Co.","Torrance","CA","American-Style Cream Ale",2019
"233","Bronze","Gold Style","Ballast Point Brewing Co. - Chicago","Chicago","IL","American-Style Cream Ale",2019
"234","Gold","Salt River","Historic Brewing Co.","Flagstaff","AZ","American-Style Fruit Beer",2019
"235","Silver","Quat","Tampa Bay Brewing Co. - Ybor City","Tampa","FL","American-Style Fruit Beer",2019
"236","Bronze","Boom Dynamite","O.H.S.O. Brewery + Distillery","Phoenix","AZ","American-Style Fruit Beer",2019
"237","Gold","More Dodge Less RAM","Comrade Brewing Co.","Denver","CO","American-Style India Pale Ale",2019
"238","Gold","Lite Thinking","Pollyanna Brewing Co.","Lemont","IL","American-Style Lager or American-Style Pilsener",2019
"239","Silver","Valley Beer","Wren House Brewing Co.","Phoenix","AZ","American-Style Lager or American-Style Pilsener",2019
"240","Bronze","Schaben's","Thunderhead Brewing Co.","Kearney","NE","American-Style Lager or American-Style Pilsener",2019
"241","Gold","Johnny Utah","Georgetown Brewing Co.","Seattle","WA","American-Style Pale Ale",2019
"242","Silver","Acclimated APA","La Cumbre Brewing Co.","Albuquerque","NM","American-Style Pale Ale",2019
"243","Bronze","Breakside Woodlawn Pale Ale","Breakside Brewery","Portland","OR","American-Style Pale Ale",2019
"244","Gold","Low pHunk","MobCraft Beer","Milwaukee","WI","American-Style Sour Ale",2019
"245","Silver","Alegria","Millersburg Brewing","Millersburg","OH","American-Style Sour Ale",2019
"246","Gold","Black Cliffs","Boise Brewing","Boise","ID","American-Style Stout",2019
"247","Gold","Superpower IPA","Comrade Brewing Co.","Denver","CO","American-Style Strong Pale Ale",2019
"248","Silver","NoPac IPA","Crossbuck Brewing","Walla Walla","WA","American-Style Strong Pale Ale",2019
"249","Bronze","JAF IPA","JAFB Wooster Brewery","Wooster","OH","American-Style Strong Pale Ale",2019
"250","Bronze","Termes Beer","Spearfish Brewing Co.","Spearfish","SD","American-Style Wheat Beer",2019
"251","Gold","Australian For Pale","Green Cheek Beer Co.","Orange","CA","Australian-Style Pale Ale",2019
"252","Silver","Mountain Standard IPA","Odell Brewing Co.","Fort Collins","CO","Australian-Style Pale Ale",2019
"253","Bronze","Pete's Stash","Vail Brewing Co. - Vail Village Pilot","Vail","CO","Australian-Style Pale Ale",2019
"254","Gold","Snap Yo' Baltics","Freetail Brewing Co. - Brewpub","San Antonio","TX","Baltic-Style Porter",2019
"255","Gold","Old Diablo","Morgan Territory Brewing","Tracy","CA","Barley Wine-Style Ale",2019
"256","Silver","Freebooter Barleywine","Coronado Brewing Co.","Coronado","CA","Barley Wine-Style Ale",2019
"257","Bronze","Three Ryes Men","Reuben's Brews - The Taproom","Seattle","WA","Barley Wine-Style Ale",2019
"258","Gold","Junebug","Echo Brewing Co.","Erie","CO","Belgian- and French-Style Ale",2019
"259","Silver","Swingin' Single","Piece Brewery","Chicago","IL","Belgian- and French-Style Ale",2019
"260","Bronze","Industrial Gris","Resident Brewing Co.","San Diego","CA","Belgian- and French-Style Ale",2019
"261","Silver","Hell's Keep","Squatters Craft Beers","Salt Lake City","UT","Belgian-Style Blonde Ale or Pale Ale",2019
"262","Bronze","Suddenly a Saint","Moonraker Brewing Co.","Auburn","CA","Belgian-Style Blonde Ale or Pale Ale",2019
