"","medal","beer_name","brewery","city","state","category","year"
"2647","Gold","Mission Street Pale","Firestone Walker Brewing Co.","Paso Robles","CA","American-Style Pale Ale",2008
"2648","Silver","Drake's 1500 Pale","Drake's Brewing Co.","San Leandro","CA","American-Style Pale Ale",2008
"2649","Silver","Natural Ice","Anheuser-Busch, Inc","St. Louis","MO","American-Style Specialty Lager",2008
"2650","Bronze","Busch Ice","Anheuser-Busch, Inc","St. Louis","MO","American-Style Specialty Lager",2008
"2651","Gold","Terminal Stout","Rock Bottom Breweries","Louisville","CO","American-Style Stout",2008
"2652","Silver","Black Mocha Stout","Highland Brewing Co.","Asheville","NC","American-Style Stout",2008
"2653","Bronze","Troegs Dead Reckoning","TrC3=B6egs Brewing Co.","Harrisburg","PA","American-Style Stout",2008
"2654","Gold","Hop Bomb","Rock Bottom Breweries","Louisville","CO","American-Style Strong Pale Ale",2008
"2655","Silver","Nectar Pale","Firestone Walker Brewing Co.","Paso Robles","CA","American-Style Strong Pale Ale",2008
"2656","Silver","Spanish Peak Crystal Weiss","Spanish Peaks Brewing Co.","Stamford","CT","American-Style Wheat Beer",2008
"2657","Gold","Kick in the Baltic Porter","Bluegrass Brewing Co.","Louisville","KY","Baltic-Style Porter",2008
"2658","Silver","Killer Kowalski","Flossmoor Station Brewing Co.","Flossmoor","IL","Baltic-Style Porter",2008
"2659","Gold","Treblehook","Redhook Ale Brewery","Portland","OR","Barley Wine-Style Ale",2008
"2660","Silver","AleSmith Old Numbskull","AleSmith Brewing Co.","San Diego","CA","Barley Wine-Style Ale",2008
"2661","Bronze","Scratch # 4 ""The Flying Mouflan""","TrC3=B6egs Brewing Co.","Harrisburg","PA","Barley Wine-Style Ale",2008
"2662","Silver","Pride","Midnight Sun Brewing Co.","Anchorage","AK","Belgian- and French-Style Ale",2008
"2663","Bronze","Rare Vos","Brewery Ommegang","Cooperstown","NY","Belgian- and French-Style Ale",2008
"2664","Gold","Bishop's Tipple Trippel","Main Street Brewery","Corona","CA","Belgian-Style Abbey Ale",2008
"2665","Silver","Abbey Dubbel","Flying Fish Brewing Co.","Cherry Hill","NJ","Belgian-Style Abbey Ale",2008
"2666","Bronze","6th Glass","Boulevard Brewing Co.","Kansas City","MO","Belgian-Style Abbey Ale",2008
"2667","Gold","Lambic de Hill","Iron Hill Brewery & Restaurant - Media","Wilmington","DE","Belgian-Style Lambic or Sour Ale",2008
"2668","Silver","Upstream Gueuze-Lambic","Upstream Brewing Co.","Omaha","NE","Belgian-Style Lambic or Sour Ale",2008
"2669","Bronze","Cassis de Hill","Iron Hill Brewery & Restaurant - Newark","Wilmington","DE","Belgian-Style Lambic or Sour Ale",2008
"2670","Gold","Darth Delirium","Moose's Tooth Brewing Co.","Anchorage","AK","Belgian-Style Strong Specialty Ale",2008
"2671","Silver","Brother Davids Double","Anderson Valley Brewing Co.","Boonville","CA","Belgian-Style Strong Specialty Ale",2008
"2672","Bronze","Golden Armor","CB & Potts Restaurant & Brewery - Highlands Ranch","Highlands Ranch","CO","Belgian-Style Strong Specialty Ale",2008
"2673","Gold","Mothership Wit / Organic Wheat Beer","New Belgium Brewing Co.","Fort Collins","CO","Belgian-Style Witbier",2008
"2674","Silver","Belgian Wit","Redrock Brewing Co.","Salt Lake City","UT","Belgian-Style Witbier",2008
"2675","Bronze","Squatters Wit","Utah Brewers Cooperative","Salt Lake City","UT","Belgian-Style Witbier",2008
"2676","Gold","Drop Top","Widmer Brothers Brewing Co.","Portland","OR","Bitter or Pale Mild Ale",2008
"2677","Silver","Hopsmith Pale Ale","Bull &amp; Bush Brewery","Denver","CO","Bitter or Pale Mild Ale",2008
"2678","Bronze","Sawtooth Ale","Left Hand Brewing Co.","Longmont","CO","Bitter or Pale Mild Ale",2008
"2679","Gold","Goat Rancher","SandLot (The)","Denver","CO","Bock",2008
"2680","Silver","Bock Lager","Elk Grove Brewery and Restaurant","Elk Grove","CA","Bock",2008
"2681","Gold","Pleasantville Pils","Durango Brewing Co.","Durango","CO","Bohemian-Style Pilsener",2008
"2682","Silver","Pallavicini Pilsner","Pug Ryan's Brewery","Dillon","CO","Bohemian-Style Pilsener",2008
"2683","Bronze","Double Aught","Bear Republic Brewing Co.","Healdsburg","CA","Bohemian-Style Pilsener",2008
"2684","Gold","BlackWatch Cream Porter","Pyramid Breweries Inc","Seattle","WA","Brown Porter",2008
"2685","Silver","FireHouse Porter","FireHouse Grill & Brewery","Sunnyvale","CA","Brown Porter",2008
"2686","Bronze","Prospector Porter","Tommyknocker Brewery","Idaho Springs","CO","Brown Porter",2008
"2687","Gold","Full Sail Pale Ale","Full Sail Brewing Co.","Hood River","OR","Classic English-Style Pale Ale",2008
"2688","Silver","Clipper City Pale Ale","Clipper City Brewing Co.","Baltimore","MD","Classic English-Style Pale Ale",2008
"2689","Bronze","Summit Extra Pale Ale","Summit Brewing Co.","Saint Paul","MN","Classic English-Style Pale Ale",2008
"2690","Gold","Blarney Sisters Dry Irish Stout","Third Street AleWorks","Santa Rosa","CA","Classic Irish-Style Dry Stout",2008
"2691","Silver","Shaft House Stout","Dostal Alley Brewpub & Casino","Central City","CO","Classic Irish-Style Dry Stout",2008
"2692","Bronze","Port Truck Stout","Pizza Port - Carlsbad","Carlsbad","CA","Classic Irish-Style Dry Stout",2008
"2693","Silver","Big Shot Espresso Stout","Twisted Pine Brewing Co.","Boulder","CO","Coffee Flavored Beer",2008
"2694","Gold","Rolling Thunder Dortmunder","Snake River Brewing Jackson","Jackson","WY","Dortmunder or German-Style Oktoberfest",2008
"2695","Silver","Westy Export","CB & Potts Restaurant & Brewery - Flatirons/Westminster","Broomfield","CO","Dortmunder or German-Style Oktoberfest",2008
"2696","Bronze","Penn Oktoberfest","Pennsylvania Brewing Co.","Pittsburgh","PA","Dortmunder or German-Style Oktoberfest",2008
"2697","Gold","Sweet George's Brown","Dillon DAM Brewery","Dillon","CO","English-Style Dark Mild Ale or Brown Ale",2008
"2698","Gold","Surfer's Summer Ale","Pelican Pub & Brewery","Pacific City","OR","English-Style Summer Ale",2008
"2699","Silver","Montgomery Blonde","Montgomery Brewing Co.","Montgomery","AL","English-Style Summer Ale",2008
"2700","Bronze","312 'Urban Wheat Ale'","Goose Island Beer Co.","Chicago","IL","English-Style Summer Ale",2008
"2701","Gold","Munich Dark","Redwood Brewing Co.","Flint","MI","European-Style Dunkel",2008
"2702","Bronze","Michelob Amberbock","Michelob Brewing Co.","St. Louis","MO","European-Style Dunkel",2008
"2703","Gold","Arquebus","Cambridge Brewing Co.","Cambridge","MA","Experimental Beer",2008
"2704","Silver","Sweetwater Motorboat ESB","Sweetwater Brewing Co.","Atlanta","GA","Extra Special Bitter or Strong Bitter",2008
"2705","Gold","Whiteface Black Diamond Stout","Great Adirondack Brewing Co.","Lake Placid","NY","Foreign-Style Stout",2008
"2706","Silver","Black Bear XX Stout","Alameda Brewhouse","Portland","OR","Foreign-Style Stout",2008
"2707","Silver","Saison","Nodding Head Brewing Co.","Philadelphia","PA","French- and Belgian-Style Saison",2008
"2708","Bronze","Luciernaga","Jolly Pumpkin Artisan Ales","Dexter","MI","French- and Belgian-Style Saison",2008
"2709","Gold","Pyramid Apricot Ale","Pyramid Breweries Inc","Seattle","WA","Fruit or Vegetable Beer",2008
"2710","Silver","Alaskan Raspberry Wheat Beer","Alaskan Brewing Co.","Juneau","AK","Fruit or Vegetable Beer",2008
"2711","Bronze","Sangre de Frambuesa","Santa Fe Brewing Co.","Santa Fe","NM","Fruit or Vegetable Beer",2008
"2712","Gold","The Detroit Dwarf","Detroit Beer Co. (The)","Detroit","MI","German-Style Altbier",2008
"2713","Silver","Railyard Ale","Titletown Brewing Co.","Green Bay","WI","German-Style Altbier",2008
"2714","Gold","Wind Blown Blonde","Stewart's Brewing Co.","Bear","DE","German-Style K=C3=B6lsch",2008
"2715","Bronze","Guido's Kolner Brau","Snake River Brewing Jackson","Jackson","WY","German-Style KC3=B6lsch",2008
"2716","Silver","Saratoga Lager","Olde Saratoga Brewing Co.","Saratoga Springs","NY","German-Style MC3=A4rzen",2008
"2717","Bronze","Munsterfest","Three Floyds Brewing Co. LLC","Munster","IN","German-Style MC3=A4rzen",2008
"2718","Gold","Kaiser Pilsner","Pennsylvania Brewing Co.","Pittsburgh","PA","German-Style Pilsener",2008
"2719","Bronze","Prima Pils","Victory Brewing Co.","Downingtown","PA","German-Style Pilsener",2008
"2720","Gold","B3K","Wynkoop Brewing Co.","Denver","CO","German-Style Schwarzbier",2008
"2721","Silver","Cherny Bock","Bohemian Brewery","Midvale","UT","German-Style Schwarzbier",2008
"2722","Silver","Deep Water Dopplebock","Thomas Creek Brewery","Greenville","SC","German-Style Strong Bock",2008
"2723","Bronze","Red Cock Doppel Bock","Maui Brewing Co.","Lahaina","HI","German-Style Strong Bock",2008
"2724","Gold","I'm Half the Beer I Used to Be","BJ's Restaurant & Brewery - Chandler","Huntington Beach","CA","German-Style Wheat Ale",2008
"2725","Silver","Dark-n-Curvy Dunkelweizen","Piece Brewery","Chicago","IL","German-Style Wheat Ale",2008
"2726","Bronze","Wasatch Hefeweizen","Wasatch Brew Pub","Park City","UT","German-Style Wheat Ale",2008
"2727","Silver","New Grist","Lakefront Brewery Inc","Milwaukee","WI","Gluten Free Beer",2008
"2728","Bronze","Chinquapin Butte Golden Ale","Deschutes Brewery","Bend","OR","Gluten Free Beer",2008
"2729","Gold","Steelhead Extra Pale Ale","Mad River Brewing Co.","Blue Lake","CA","Golden or Blonde Ale",2008
"2730","Silver","Alaskan Summer Ale","Alaskan Brewing Co.","Juneau","AK","Golden or Blonde Ale",2008
"2731","Gold","Russian Roulette","Minneapolis Town Hall Brewery","Minneapolis","MN","Herb and Spice or Chocolate Beer",2008
"2732","Silver","Pangaea","Dogfish Head Craft Brewery","Milton","DE","Herb and Spice or Chocolate Beer",2008
"2733","Bronze","State Beach Blonde","Pizza Port - Carlsbad","Carlsbad","CA","Herb and Spice or Chocolate Beer",2008
"2734","Silver","Alpha Dog Double Red Ale","Big Dog's Brewing Co.","Las Vegas","NV","Imperial or Double Red Ale",2008
"2735","Bronze","Weekender Red Ale","Amicas","Salida","CO","Imperial or Double Red Ale",2008
"2736","Gold","BORIS The Crusher Oatmeal-Imperial Stout","Hoppin' Frog Brewing Co.","Akron","OH","Imperial Stout",2008
"2737","Silver","Night Rider Imperial Stout","Pizza Port - Carlsbad","Carlsbad","CA","Imperial Stout",2008
"2738","Bronze","Yeti Imperial Stout","Great Divide Brewing Co.","Denver","CO","Imperial Stout",2008
"2739","Gold","Session Premium Lager","Full Sail Brewing Co.","Hood River","OR","International-Style Pilsener",2008
"2740","Silver","Yep, Still Boneheads","SandLot (The)","Denver","CO","International-Style Pilsener",2008
"2741","Bronze","OE 800","MillerCoors","Milwaukee","WI","International-Style Pilsener",2008
"2742","Gold","Red Rocks Red Ale","Rock Bottom Breweries","Louisville","CO","Irish-Style Red Ale",2008
"2743","Silver","Ragtop Red","Rock Bottom Brewery - La Jolla","La Jolla","CA","Irish-Style Red Ale",2008
"2744","Bronze","Eric The Red","Rock Bottom Brewery - Orland Park","Orland Park","IL","Irish-Style Red Ale",2008
"2745","Silver","Hell In Keller","Uncle Billy's Brew & Que","Austin","TX","Kellerbier/Zwickelbier",2008
"2746","Gold","Himmelbrau Helles","Laurelwood Brewing Co.","Portland","OR","Munich-Style Helles",2008
"2747","Silver","Saint Arnold Summer Pils","Saint Arnold Brewing Co.","Houston","TX","Munich-Style Helles",2008
"2748","Bronze","BS Helles","SandLot (The)","Denver","CO","Munich-Style Helles",2008
"2749","Gold","Oatmeal Stout","Gella's Diner and Lb. Brewing Co.","Hays","KS","Oatmeal Stout",2008
"2750","Silver","Velvet Merkin","Firestone Walker Brewing Co.","Paso Robles","CA","Oatmeal Stout",2008
"2751","Bronze","Oatmeal Stout","Morgan Territory Brewing","Antioch","CA","Oatmeal Stout",2008
"2752","Gold","AleSmith Decadence Old Ale","AleSmith Brewing Co.","San Diego","CA","Old Ale or Strong Ale",2008
"2753","Silver","Old Scrooge","Silver City Restaurant & Brewery","Silverdale","WA","Old Ale or Strong Ale",2008
"2754","Bronze","Old Scratch Barley Wine '99","Great Dane Pub & Brewing Co. (The)","Madison","WI","Old Ale or Strong Ale",2008
"2755","Gold","Derail Ale","Durango Brewing Co.","Durango","CO","Other Strong Beer",2008
"2756","Silver","Imperial Oatmeal Stout","Boundary Bay Brewery","Bellingham","WA","Other Strong Beer",2008
"2757","Bronze","FiftyFifty Imperial Stout","FiftyFifty Brewing Co.","Truckee","CA","Other Strong Beer",2008
"2758","Gold","Barking Dog Scottish Ale","Big Time Brewing Co.","Seattle","WA","Pro-Am Competition",2008
"2759","Silver","Bamberg Hellerbock","Starr Hill Brewing Co.","Crozet","VA","Pro-Am Competition",2008
"2760","Bronze","Irish Red","Odell Brewing Co.","Fort Collins","CO","Pro-Am Competition",2008
"2761","Gold","Barking Dog Scottish Ale","Big Time Brewing Co.","Seattle","WA","Proam",2008
"2762","Bronze","Irish Red","Odell Brewing Co.","Fort Collins","CO","Proam",2008
"2763","Gold","Nolan's Porter","Barrio Brewing Co.","Tucson","AZ","Robust Porter",2008
"2764","Bronze","Pacemaker Porter","Flyers Restaurant and Brewery","Oak Harbor","WA","Robust Porter",2008
"2765","Gold","Roggenbier","Iron Hill Brewery & Restaurant - Media","Wilmington","DE","Rye Beer",2008
"2766","Bronze","Ryeteous Red","Amherst Brewing Co.","Amherst","MA","Rye Beer",2008
"2767","Gold","Highland Courage","Rock Bottom Brewery - Bethesda","Bethesda","MD","Scottish-Style Ale",2008
"2768","Silver","Dells Chief Amber Ale","Dells Brewing Co.","Wisconsin Dells","WI","Scottish-Style Ale",2008
"2769","Gold","3.2 Unfiltered Wheat Beer","Boulevard Brewing Co.","Kansas City","MO","Session Beer",2008
"2770","Bronze","Blonde Bombshell","Cascade Lakes Brewing Co.","Redmond","OR","Session Beer",2008
"2771","Gold","Rauch Bier","Sly Fox Brewing Co.","Royersford","PA","Smoke-Flavored Beer",2008
"2772","Silver","Alaskan Smoked Porter 2007","Alaskan Brewing Co.","Juneau","AK","Smoke-Flavored Beer",2008
"2773","Bronze","Second Hand Smoke","SandLot (The)","Denver","CO","Smoke-Flavored Beer",2008
"2774","Gold","Wixa Weiss","Wynkoop Brewing Co.","Denver","CO","South German-Style Hefeweizen",2008
"2775","Silver","The Love","Starr Hill Brewing Co.","Crozet","VA","South German-Style Hefeweizen",2008
"2776","Bronze","Mueller Hefeweizen","Springfield Brewing Co.","Springfield","MO","South German-Style Hefeweizen",2008
"2777","Gold","Red & White","Dogfish Head Craft Brewery","Milton","DE","Specialty Beer",2008
"2778","Silver","Hazelnut Brown Nectar","Rogue Ales","Portland","OR","Specialty Beer",2008
"2779","Bronze","Palo Santo Marron","Dogfish Head Craft Brewery","Milton","DE","Specialty Beer",2008
"2780","Gold","Honey Lager","Capitol City Brewing Co. - Capitol Hill","Washington","DC","Specialty Honey Beer",2008
"2781","Silver","Eye of the Storm","Minneapolis Town Hall Brewery","Minneapolis","MN","Specialty Honey Beer",2008
"2782","Bronze","Honey Moon Summer Ale","Blue Moon Brewing Co.","Golden","CO","Specialty Honey Beer",2008
"2783","Gold","AleSmith Wee Heavy","AleSmith Brewing Co.","San Diego","CA","Strong Scotch Ale",2008
"2784","Silver","Way Heavy","Pizza Port - San Clemente","Carlsbad","CA","Strong Scotch Ale",2008
"2785","Silver","Milk Stout","Left Hand Brewing Co.","Longmont","CO","Sweet Stout",2008
"2786","Bronze","Cow Stout","Pizza Port - Carlsbad","Carlsbad","CA","Sweet Stout",2008
"2787","Bronze","Clipper City MarzHon","Clipper City Brewing Co.","Baltimore","MD","Vienna-Style Lager",2008
"2788","Gold","Old Jack","Ram Restaurant & Brewery (Indianapolis)","Indianapolis","IN","Wood- and Barrel-Aged Beer",2008
"2789","Silver","Buffalo Bock","Ram Restaurant & Brewery (Indianapolis)","Indianapolis","IN","Wood- and Barrel-Aged Beer",2008
"2790","Bronze","Beastie Barrel Stout","Barley Island Brewing Co.","Fishers","IN","Wood- and Barrel-Aged Beer",2008
"2791","Gold","Beekeeper","Bullfrog Brewery","Williamsport","PA","Wood- and Barrel-Aged Sour Beer",2008
"2792","Silver","Cherry Dubbel","Iron Hill Brewery & Restaurant - Newark","Wilmington","DE","Wood- and Barrel-Aged Sour Beer",2008
"2793","Bronze","Cascade Kriek Ale","Cascade Brewery Co. LLC","Portland","OR","Wood- and Barrel-Aged Sour Beer",2008
"2794","Gold","Bourbon Barrel Barleywine","Central Waters Brewing Co.","Amherst","WI","Wood- and Barrel-Aged Strong Beer",2008
"2795","Silver","The Legend of the Liquid Brain Imperial Stout","Bull & Bush Brewery","Denver","CO","Wood- and Barrel-Aged Strong Beer",2008
"2796","Bronze","Golden Delicious","Captain Lawrence Brewing Co.","Pleasantville","NY","Wood- and Barrel-Aged Strong Beer",2008
"2797","Gold","Broad Street Barleywine","Rock Bottom Brewery - King of Prussia","King of Prussia","PA","Aged Beer (Ale or Lager)",2007
"2798","Silver","2003 Pilgrim's Dole","New Holland Brewing Co.","Holland","MI","Aged Beer (Ale or Lager)",2007
"2799","Bronze","Alaskan Smoked Porter 2004","Alaskan Brewing Co.","Juneau","AK","Aged Beer (Ale or Lager)",2007
"2800","Gold","Steam Engine Lager","Steamworks Brewing Co.","Durango/Bayfield","CO","American-Style Amber Lager",2007
"2801","Silver","Toasted Lager","Blue Point Brewing Co.","Patchogue","NY","American-Style Amber Lager",2007
"2802","Bronze","Old Scratch Amber Lager","Flying Dog Brewery","Denver","CO","American-Style Amber Lager",2007
"2803","Bronze","McCarthy Red","Emmett's Tavern & Brewing Co.","West Dundee","IL","American-Style Amber/Red Ale",2007
"2804","Gold","Doryman's Dark Ale","Pelican Pub &amp; Brewery","Pacific City","OR","American-Style Brown Ale",2007
"2805","Bronze","Bitch Creek ESB","Grand Teton Brewing Co.","Victor","ID","American-Style Brown Ale",2007
"2806","Gold","Lone Star","Pabst Brewing Co.","Woodridge","IL","American-Style Cream Ale or Lager",2007
"2807","Silver","Old Style","Pabst Brewing Co.","Woodridge","IL","American-Style Cream Ale or Lager",2007
"2808","Bronze","TAPS Cream Ale","TAPS Fish House & Brewery","Brea","CA","American-Style Cream Ale or Lager",2007
"2809","Gold","Roadrunner Red Lager","Thunder Canyon Brewery","Tucson","AZ","American-Style Dark Lager",2007
"2810","Silver","Henry Weinhard's Classic Dark","Miller Brewing Co.","Milwaukee","WI","American-Style Dark Lager",2007
"2811","Bronze","Elevator Dark Horse","Elevator Brewing Co.","Columbus","OH","American-Style Dark Lager",2007
"2812","Silver","Easy Street Wheat","Odell Brewing Co.","Fort Collins","CO","American-Style Hefeweizen",2007
"2813","Bronze","American Hefeweizen","Gella's Diner and Lb. Brewing Co.","Hays","KS","American-Style Hefeweizen",2007
"2814","Gold","IPA","Odell Brewing Co.","Fort Collins","CO","American-Style India Pale Ale",2007
"2815","Silver","Blind Pig IPA","Russian River Brewing Co.","Santa Rosa","CA","American-Style India Pale Ale",2007
"2816","Bronze","El Camino IPA","Mission Brewery","San Diego","CA","American-Style India Pale Ale",2007
"2817","Gold","Hamm's","Miller Brewing Co.","Milwaukee","WI","American-Style Lager",2007
"2818","Silver","Miller Genuine Draft","Miller Brewing Co.","Milwaukee","WI","American-Style Lager",2007
"2819","Bronze","McHenry Lager","Clipper City Brewing Co.","Baltimore","MD","American-Style Lager",2007
"2820","Gold","Old Milwaukee Light","Pabst Brewing Co.","Woodridge","IL","American-Style Light Lager",2007
"2821","Bronze","Coors Light","Coors Brewing Co.","Golden","CO","American-Style Light Lager",2007
"2822","Bronze","Full Frontal Pale Ale","Piece Brewery","Chicago","IL","American-Style Pale Ale",2007
"2823","Gold","Cuvee de Castleton","Captain Lawrence Brewing Co.","Pleasantville","NY","American-Style Sour Ale or German-Style Sour Ale",2007
"2824","Silver","Skull &amp; Bones Cuvee","Bristol Brewing Co.","Colorado Springs","CO","American-Style Sour Ale or German-Style Sour Ale",2007
"2825","Bronze","Le Terroir","New Belgium Brewing Co.","Fort Collins","CO","American-Style Sour Ale or German-Style Sour Ale",2007
"2826","Gold","Icehouse","Miller Brewing Co.","Milwaukee","WI","American-Style Specialty Lager",2007
"2827","Silver","Mickey's Ice","Miller Brewing Co.","Milwaukee","WI","American-Style Specialty Lager",2007
"2828","Bronze","Mickey's Malt Liquor","Miller Brewing Co.","Milwaukee","WI","American-Style Specialty Lager",2007
"2829","Gold","Sticky Stout","Pizza Port - Carlsbad","Carlsbad","CA","American-Style Stout",2007
"2830","Silver","Big Bear","Bear Republic Brewing Co.","Healdsburg","CA","American-Style Stout",2007
"2831","Bronze","Terminal Stout","Rock Bottom Brewery - Chicago","Chicago","IL","American-Style Stout",2007
"2832","Gold","Nectar Pale","Firestone Walker Brewing Co.","Paso Robles","CA","American-Style Strong Pale Ale",2007
"2833","Gold","Pyramid Crystal Weizen","Pyramid Breweries Inc","Seattle","WA","American-Style Wheat Beer",2007
"2834","Silver","Brewmaster Reserve","Widmer Brothers Brewing Co.","Portland","OR","American-Style Wheat Beer",2007
"2835","Bronze","Wheatmiser","Goose Island Brewpub","Chicago","IL","American-Style Wheat Wine Ale",2007
"2836","Gold","Killer Kowalski","Flossmoor Station Brewing Co.","Flossmoor","IL","Baltic-Style Porter",2007
"2837","Silver","Foothills Baltic Porter","Foothills Brewing","Winston-Salem","NC","Baltic-Style Porter",2007
"2838","Bronze","Amnesia","Grumpy Troll Brewery, Restaurant & Pizzeria (The)","Mount Horeb","WI","Baltic-Style Porter",2007
"2839","Gold","John Barley Corn Barleywine","Mad River Brewing Co.","Blue Lake","CA","Barley Wine Style Ale",2007
"2840","Silver","Cereal Killer Barley Wine","Arcadia Brewing Co.","Battle Creek","MI","Barley Wine Style Ale",2007
"2841","Bronze","3 Guy Off the Scale Barley Wine","Dark Horse Brewing Co.","Marshall","MI","Barley Wine Style Ale",2007
"2842","Silver","Southampton Double White Ale","Southampton Publick House","Southampton","NY","Belgian and French-Style Ale",2007
"2843","Bronze","Domaine Dupage","Two Brothers Brewing Co.","Warrenville","IL","Belgian and French-Style Ale",2007
"2844","Gold","Triple Dipsea Belgian-Style Ale","Marin Brewing Co.","Larkspur","CA","Belgian Style Abbey Ale",2007
"2845","Silver","Green Flash Trippel","Green Flash Brewing Co.","Vista","CA","Belgian Style Abbey Ale",2007
"2846","Bronze","Four","Allagash Brewing Co.","Portland","ME","Belgian Style Abbey Ale",2007
"2847","Gold","Celis Grand Cru","Michigan Brewing Co.","Webberville","MI","Belgian Style Strong Specialty Ale",2007
"2848","Silver","Redrock Reve","Redrock Brewing Co.","Salt Lake City","UT","Belgian Style Strong Specialty Ale",2007
"2849","Gold","High Mountain Cherry Ale","Rubicon Brewing Co.","Sacramento","CA","Belgian-Style Sour Ale",2007
"2850","Silver","Supplication","Russian River Brewing Co.","Santa Rosa","CA","Belgian-Style Sour Ale",2007
"2851","Bronze","Kriek de Hill","Iron Hill Brewery & Restaurant - Media","Media","PA","Belgian-Style Sour Ale",2007
"2852","Silver","John's Generations White Ale","Millstream Brewing Co.","Amana","IA","Belgian-Style White (or Wit)/Belgian-Style Wheat",2007
"2853","Gold","Pub Bitter","Deschutes Brewery","Bend","OR","Bitter or Pale Mild Ale",2007
"2854","Silver","Squatters Organic Amber Ale","Utah Brewers Cooperative","Salt Lake City","UT","Bitter or Pale Mild Ale",2007
"2855","Gold","Troegenator","TrC3=B6egs Brewing Co.","Harrisburg","PA","Bock",2007
"2856","Silver","Gruffmeister 8 Maibock","Foothills Brewing","Winston-Salem","NC","Bock",2007
"2857","Bronze","Butthead Bock","Tommyknocker Brewery","Idaho Springs","CO","Bock",2007
"2858","Gold","Gordon Biersch Czech Lager","Gordon Biersch Brewery Restaurant Group","Chattanooga","TN","Bohemian Style Pilsener",2007
"2859","Silver","Pallavicini Pilsner","Pug Ryan's Brewery","Dillon","CO","Bohemian Style Pilsener",2007
"2860","Bronze","Detroit Lager","Detroit Beer Co. (The)","Detroit","MI","Bohemian Style Pilsener",2007
"2861","Gold","Pioneer Porter","Fredericksburg Brewing Co.","Fredericksburg","TX","Brown Porter",2007
"2862","Silver","Prospector Porter","Tommyknocker Brewery","Idaho Springs","CO","Brown Porter",2007
"2863","Gold","Organic Zwickelbier","Redrock Brewing Co.","Salt Lake City","UT","Cellar or Unfiltered Beer",2007
"2864","Silver","Cambridge Amber","Cambridge Brewing Co.","Cambridge","MA","Cellar or Unfiltered Beer",2007
"2865","Bronze","Hop Angel I.P.A.","Chelsea Brewing Co.","New York","NY","Cellar or Unfiltered Beer",2007
"2866","Silver","DBA (Double Barrel Ale)","Firestone Walker Brewing Co.","Paso Robles","CA","Classic English Style Pale Ale",2007
"2867","Bronze","Summit Extra Pale Ale","Summit Brewing Co.","St. Paul","MN","Classic English Style Pale Ale",2007
"2868","Gold","Moylan's Irish Dry Stout","Moylan's Brewing Co.","Novato","CA","Classic Irish-Style Dry Stout",2007
"2869","Bronze","Blarney Sisters Dry Irish Stout","Third Street AleWorks","Santa Rosa","CA","Classic Irish-Style Dry Stout",2007
"2870","Gold","Coffee Bender","Surly Brewing Co.","Brooklyn Center","MN","Coffee Flavored Beer",2007
"2871","Silver","Java Porter","Blind Tiger Brewery & Restaurant","Topeka","KS","Coffee Flavored Beer",2007
"2872","Gold","Move Back","SandLot Brewery at Coors Field","Denver","CO","Dortmunder/European Style Export or German-Style Oktoberfest/Wiesen (Meadow)",2007
"2873","Gold","Lil' Pip's Mild Ale","Hoppers Grill & Brewing Co.","Midvale","UT","English Style Dark Mild Ale or English-Style Brown Ale",2007
"2874","Silver","Nut Brown Ale","Blackstone Brewing Co.","Nashville","TN","English Style Dark Mild Ale or English-Style Brown Ale",2007
"2875","Bronze","1069 Brown Bear Brown","Rock Bottom Brewery - Campbell, CA","Campbell","CA","English Style Dark Mild Ale or English-Style Brown Ale",2007
"2876","Bronze","Beech Street Bitter","Pizza Port - Carlsbad","Carlsbad","CA","English-Style India Pale Ale",2007
"2877","Gold","""312"" Urban Wheat Ale","Goose Island Beer Co.","Chicago","IL","English-Style Summer Ale",2007
"2878","Silver","Sandbagger Gold","Montana Brewing Co.","Billings","MT","English-Style Summer Ale",2007
"2879","Bronze","Green Flash Extra Pale Ale","Green Flash Brewing Co.","Vista","CA","English-Style Summer Ale",2007
"2880","Bronze","Munich Dunkel","Redrock Brewing Co.","Salt Lake City","UT","European Style Dark/M=C3=BCnchner Dunkel",2007
"2881","Gold","Imperial Chocolate Pumpkin Porter","Midnight Sun Brewing Co.","Anchorage","AK","Experimental Beer (Lager or Ale)",2007
"2882","Silver","Veritas 002","Port Brewing & The Lost Abbey","San Marcos","CA","Experimental Beer (Lager or Ale)",2007
"2883","Bronze","Victor","Allagash Brewing Co.","Portland","ME","Experimental Beer (Lager or Ale)",2007
"2884","Gold","The Wise ESB","Elysian Brewing Co.","Seattle","WA","Extra Special Bitter or Strong Bitter",2007
"2885","Silver","O'Brien's Harvest","Hale's Ales Brewery & Pub","Seattle","WA","Extra Special Bitter or Strong Bitter",2007
"2886","Bronze","Big Sea ESB","Free State Brewing Co.","Lawrence","KS","Extra Special Bitter or Strong Bitter",2007
"2887","Gold","Zonker Stout","Snake River Brewing Co.","Jackson","WY","Foreign (Export) Style Stout",2007
"2888","Silver","Custer's Last Stout","Montana Brewing Co.","Billings","MT","Foreign (Export) Style Stout",2007
"2889","Bronze","Russian Imperial Stout","Sacramento Brewing Co.","Sacramento","CA","Foreign (Export) Style Stout",2007
"2890","Silver","Liquid Sun 1087","Rock Bottom Brewery - Scottsdale","Scottsdale","AZ","French- and Belgian Style Saison",2007
"2891","Bronze","Southampton Saison","Southampton Publick House","Southampton","NY","French- and Belgian Style Saison",2007
